field,query,expected,predicted
trip_duration,"I want a 9-day friends holiday to Bali, around $2000, booked in a resort, mainly for photography.",9,
start_date,"Looking for a 10-day solo getaway to Cape Town, around $5000, staying at a villa, mainly for adventure.",2025-10-19,
end_date,"Looking for a 10-day solo getaway to Cape Town, around $5000, staying at a villa, mainly for adventure.",2025-10-29,
trip_duration,"Looking for a 10-day solo getaway to Cape Town, around $5000, staying at a villa, mainly for adventure.",10,
start_date,"I want a 10-day solo holiday to Cape Town, about $5000, staying at a villa, mainly for adventure.",2025-10-19,
end_date,"I want a 10-day solo holiday to Cape Town, about $5000, staying at a villa, mainly for adventure.",2025-10-29,
trip_duration,"I want a 10-day solo holiday to Cape Town, about $5000, staying at a villa, mainly for adventure.",10,
start_date,"I want a 10-day solo getaway to Cape Town, around $5000, booked in a villa, mainly for adventure.",2025-10-19,
end_date,"I want a 10-day solo getaway to Cape Town, around $5000, booked in a villa, mainly for adventure.",2025-10-29,
trip_duration,"I want a 10-day solo getaway to Cape Town, around $5000, booked in a villa, mainly for adventure.",10,
group_size,"Plan a friends trip to Rome from 2025-03-01 to 2025-03-04 staying in a Airbnb, budget $2500, interested in food.",6,3
group_size,"Help me plan a friends trip to Rome from 2025-03-01 to 2025-03-04 staying in a Airbnb, cost $2500, interested in food.",6,3
group_size,"Help me plan a friends trip to Rome from 2025-03-01 to 2025-03-04 staying in a Airbnb, budget $2500, interested in food.",6,3
start_date,"Looking for a 7-day friends getaway to Paris, around $2000, staying at a hostel, mainly for relaxation.",2025-09-04,
end_date,"Looking for a 7-day friends getaway to Paris, around $2000, staying at a hostel, mainly for relaxation.",2025-09-11,
trip_duration,"Looking for a 7-day friends getaway to Paris, around $2000, staying at a hostel, mainly for relaxation.",7,
group_size,"Looking for a 7-day friends getaway to Paris, around $2000, staying at a hostel, mainly for relaxation.",5,3
start_date,"I want a 7-day friends getaway to Paris, about $2000, staying at a hostel, mainly for relaxation.",2025-09-04,
end_date,"I want a 7-day friends getaway to Paris, about $2000, staying at a hostel, mainly for relaxation.",2025-09-11,
trip_duration,"I want a 7-day friends getaway to Paris, about $2000, staying at a hostel, mainly for relaxation.",7,
group_size,"I want a 7-day friends getaway to Paris, about $2000, staying at a hostel, mainly for relaxation.",5,3
start_date,"Looking for a 7-day friends getaway to Paris, around $2000, booked in a hostel, mainly for relaxation.",2025-09-04,
end_date,"Looking for a 7-day friends getaway to Paris, around $2000, booked in a hostel, mainly for relaxation.",2025-09-11,
trip_duration,"Looking for a 7-day friends getaway to Paris, around $2000, booked in a hostel, mainly for relaxation.",7,
group_size,"Looking for a 7-day friends getaway to Paris, around $2000, booked in a hostel, mainly for relaxation.",5,3
start_date,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-12,2025-11-05
end_date,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-22,2025-11-06
trip_duration,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",10,2
start_date,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-12,2025-11-05
end_date,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-22,2025-11-06
trip_duration,"Solo vacation to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",10,2
start_date,"Solo trip to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-12,2025-11-05
end_date,"Solo trip to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",2025-03-22,2025-11-06
trip_duration,"Solo trip to Cape Town (2025-03-12–2025-03-22) with $1500 for 1 people, prefer hotel, focusing on food.",10,2
start_date,"Solo vacation to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-08-26,2025-11-05
end_date,"Solo vacation to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-09-05,2025-11-06
trip_duration,"Solo vacation to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",10,2
start_date,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-08-26,2025-11-05
end_date,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-09-05,2025-11-06
trip_duration,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",10,2
start_date,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-08-26,2025-11-05
end_date,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",2025-09-05,2025-11-06
trip_duration,"Solo trip to Paris (2025-08-26–2025-09-05) with $2500 for 1 people, prefer resort, focusing on hiking, food.",10,2
start_date,"Looking for a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-15,
end_date,"Looking for a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-21,
trip_duration,"Looking for a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",6,
start_date,"I want a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-15,
end_date,"I want a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-21,
trip_duration,"I want a 6-day family getaway to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",6,
start_date,"Looking for a 6-day family holiday to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-15,
end_date,"Looking for a 6-day family holiday to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",2025-06-21,
trip_duration,"Looking for a 6-day family holiday to Paris, around $1200, staying at a Airbnb, mainly for history, wildlife.",6,
start_date,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-20,2025-11-05
end_date,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-26,2025-11-06
trip_duration,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",6,2
start_date,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-20,2025-11-05
end_date,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-26,2025-11-06
trip_duration,"Family vacation to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",6,2
start_date,"Family trip to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-20,2025-11-05
end_date,"Family trip to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",2025-03-26,2025-11-06
trip_duration,"Family trip to Tokyo (2025-03-20–2025-03-26) with $2500 for 5 people, prefer villa, focusing on art.",6,2
start_date,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",2025-08-01,
end_date,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",2025-08-06,
trip_duration,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",5,
start_date,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",2025-08-01,
end_date,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",2025-08-06,
trip_duration,"Looking for a 5-day friends getaway to Rome, around $800, staying at a hostel, mainly for photography, shopping.",5,
start_date,"I want a 5-day friends holiday to Rome, about $800, staying at a hostel, mainly for photography, shopping.",2025-08-01,
end_date,"I want a 5-day friends holiday to Rome, about $800, staying at a hostel, mainly for photography, shopping.",2025-08-06,
trip_duration,"I want a 5-day friends holiday to Rome, about $800, staying at a hostel, mainly for photography, shopping.",5,
start_date,"Looking for a 3-day couple getaway to Cape Town, around $2000, staying at a hostel, mainly for shopping.",2025-02-14,
end_date,"Looking for a 3-day couple getaway to Cape Town, around $2000, staying at a hostel, mainly for shopping.",2025-02-17,
trip_duration,"Looking for a 3-day couple getaway to Cape Town, around $2000, staying at a hostel, mainly for shopping.",3,
start_date,"I want a 3-day couple getaway to Cape Town, around $2000, booked in a hostel, mainly for shopping.",2025-02-14,
end_date,"I want a 3-day couple getaway to Cape Town, around $2000, booked in a hostel, mainly for shopping.",2025-02-17,
trip_duration,"I want a 3-day couple getaway to Cape Town, around $2000, booked in a hostel, mainly for shopping.",3,
start_date,"Looking for a 3-day couple getaway to Cape Town, about $2000, booked in a hostel, mainly for shopping.",2025-02-14,
end_date,"Looking for a 3-day couple getaway to Cape Town, about $2000, booked in a hostel, mainly for shopping.",2025-02-17,
trip_duration,"Looking for a 3-day couple getaway to Cape Town, about $2000, booked in a hostel, mainly for shopping.",3,
start_date,"Friends vacation to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-08-31,2025-11-05
end_date,"Friends vacation to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-09-03,2025-11-06
start_date,"Friends trip to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-08-31,2025-11-05
end_date,"Friends trip to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-09-03,2025-11-06
start_date,"Friends vacation to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-08-31,2025-11-05
end_date,"Friends vacation to Bangkok (2025-08-31–2025-09-03) with $1200 for 5 people, prefer hostel, focusing on history, adventure.",2025-09-03,2025-11-06
start_date,"Looking for a 8-day friends getaway to New York, around $2000, staying at a resort, mainly for nightlife, culture, hiking.",2025-10-08,
end_date,"Looking for a 8-day friends getaway to New York, around $2000, staying at a resort, mainly for nightlife, culture, hiking.",2025-10-16,
trip_duration,"Looking for a 8-day friends getaway to New York, around $2000, staying at a resort, mainly for nightlife, culture, hiking.",8,
group_size,"Looking for a 8-day friends getaway to New York, around $2000, staying at a resort, mainly for nightlife, culture, hiking.",6,3
start_date,"Looking for a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",2025-10-08,
end_date,"Looking for a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",2025-10-16,
trip_duration,"Looking for a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",8,
group_size,"Looking for a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",6,3
start_date,"I want a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",2025-10-08,
end_date,"I want a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",2025-10-16,
trip_duration,"I want a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",8,
group_size,"I want a 8-day friends holiday to New York, around $2000, booked in a resort, mainly for nightlife, culture, hiking.",6,3
start_date,"Looking for a 3-day friends getaway to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-25,
end_date,"Looking for a 3-day friends getaway to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-28,
trip_duration,"Looking for a 3-day friends getaway to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",3,
group_size,"Looking for a 3-day friends getaway to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",5,3
start_date,"Looking for a 3-day friends holiday to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-25,
end_date,"Looking for a 3-day friends holiday to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-28,
trip_duration,"Looking for a 3-day friends holiday to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",3,
group_size,"Looking for a 3-day friends holiday to Bali, around $2000, staying at a hotel, mainly for relaxation, culture.",5,3
start_date,"Looking for a 3-day friends getaway to Bali, about $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-25,
end_date,"Looking for a 3-day friends getaway to Bali, about $2000, staying at a hotel, mainly for relaxation, culture.",2025-10-28,
trip_duration,"Looking for a 3-day friends getaway to Bali, about $2000, staying at a hotel, mainly for relaxation, culture.",3,
group_size,"Looking for a 3-day friends getaway to Bali, about $2000, staying at a hotel, mainly for relaxation, culture.",5,3
start_date,"Couple vacation to Paris (2025-04-11–2025-04-19) with $2500 for 2 people, prefer hostel, focusing on hiking, photography.",2025-04-11,2025-11-05
